Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
3.35,0,0.367457,0.000762221,0.546818,0.000201999,0.111213,0.0205816
3.4,0,0.347418,0.000567829,0.535043,0.000202443,0.109752,0.0226395
3.45,0,0.341932,0.000955621,0.538736,3.51376e-05,0.107513,0.0062573
3.5,0,0.321844,0.000490861,0.529175,0.000137095,0.104813,0.0155964
1.5,1,0.72587,0.0191733,0.882748,8.48537e-05,0.0284536,0.0262626
1.8,1,0.824411,0.0163976,0.847147,0.000176656,0.0472273,0.060945
2.1,1,0.935148,0.0156075,0.801929,0.000331692,0.0679901,0.080072
2.4,1,0.982449,0.0100162,0.747494,0.000272395,0.0941063,0.0645326
2.7,1,0.913212,0.00509511,0.696156,0.000301362,0.107701,0.0496551
3,1,0.766182,0.00425167,0.648644,0.000326215,0.106639,0.0522083
3.3,1,0.661118,0.0013504,0.603666,0.000299064,0.107268,0.035143
3.6,1,0.548338,0.00253054,0.567208,0.00037536,0.101336,0.0451234
3.9,1,0.459248,0.0011209,0.540329,0.00030048,0.0941758,0.0293261
4.2,1,0.369349,0.00110325,0.513119,0.000162411,0.0844673,0.0105151
4.5,1,0.311425,0.000501427,0.494942,0.000220932,0.0796655,0.0139888
1.5,2,0.646566,0.0448536,0.903425,0.000217593,0.0173924,0.0933454
1.8,2,0.698807,0.0130099,0.879445,8.55295e-05,0.0237821,0.0259877
2.1,2,0.747173,0.0147287,0.853468,0.000182896,0.0320794,0.0508277
2.4,2,0.842086,0.0123298,0.817076,0.000236534,0.0455401,0.0531092
2.7,2,0.924035,0.0108276,0.775838,0.000227224,0.0602045,0.043889
3,2,0.897327,0.00857928,0.73601,0.000217845,0.0703676,0.0370706
3.3,2,0.851411,0.00241171,0.698694,0.000104079,0.076795,0.012885
3.6,2,0.785682,0.00263533,0.659878,0.000227469,0.0808651,0.0271447
3.9,2,0.725315,0.00403489,0.621528,0.000278749,0.0823711,0.0341668
4.2,2,0.64394,0.00183625,0.590581,0.000265457,0.0802403,0.0263262
4.5,2,0.554062,0.00192799,0.562514,0.000227773,0.0781487,0.0211325
