Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
2.22,0,1.20491,0.0415313,0.429596,0.000157016,0.826325,641.137
2.22,0.05,1.83104,0.0557368,0.459848,0.000194147,1.07895,811.105
2.22,0.1,1.31956,0.0443338,0.520412,0.000138411,0.543692,646.251
2.22,0.15,1.63093,0.0512613,0.542731,0.000131936,0.546095,637.498
2.22,0.2,1.25295,0.0467207,0.583155,0.000138615,0.325037,618.197
2.22,0.25,1.40453,0.0689119,0.590284,0.00010066,0.36202,568.144
2.22,0.3,1.39761,0.0535953,0.617462,9.50397e-05,0.315101,548.048
2.22,0.35,1.16365,0.0294854,0.629031,0.000117054,0.247131,593.157
2.22,0.4,1.16406,0.0547649,0.63726,9.23461e-05,0.235937,505.295
2.22,0.45,1.45105,0.0743802,0.652712,9.01344e-05,0.279132,532.207
2.22,0.5,1.385,0.0538283,0.662592,7.35551e-05,0.265267,243.188
2.22,0.55,1.34073,0.0606459,0.666643,7.05594e-05,0.227445,457.313
2.22,0.6,1.10129,0.0932786,0.674606,0.000113839,0.168156,560.703
2.22,0.65,1.13014,0.0680965,0.686908,3.4742e-05,0.1696,204.046
2.22,0.7,1.16122,0.0413044,0.693568,7.33439e-05,0.155337,187.357
2.22,0.75,0.990858,0.0700189,0.699304,8.41638e-05,0.133577,466.824
2.22,0.8,0.95257,0.0360808,0.714331,2.55837e-05,0.111332,255.727
2.22,0.85,0.873348,0.108631,0.716626,6.00854e-05,0.104219,377.65
2.22,0.9,1.05576,0.093487,0.719168,5.85584e-05,0.115697,381.33
2.22,0.95,1.0962,0.0444991,0.729476,6.11087e-05,0.113712,375.795
2.22,1,0.900215,0.0994291,0.733028,0.000111125,0.0921973,472.748
2.22,1.05,1.10889,0.0771218,0.739563,5.5603e-05,0.106449,354.055
2.22,1.1,0.941755,0.0336376,0.737781,5.3931e-05,0.0943953,327.97
2.22,1.15,1.05362,0.0532397,0.741999,4.80205e-05,0.102354,320.049
2.22,1.2,1.09561,0.0983156,0.750445,5.95447e-05,0.101915,380.431
2.22,1.25,1.04698,0.0869036,0.756685,4.03947e-05,0.0882981,307.577
2.22,1.3,0.78743,0.0491146,0.763304,4.92962e-05,0.065293,297.976
2.22,1.35,0.905516,0.0816813,0.759849,7.37028e-05,0.0739788,298.128
2.22,1.4,1.02101,0.0521652,0.769026,5.32488e-05,0.083429,135.648
2.22,1.45,0.960544,0.0515557,0.766605,1.89352e-05,0.0762011,234.249
