Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
2.22,0,1.3215,0.0266657,0.532125,0.000306281,0.563789,29.3674
2.22,0.05,1.35561,0.00773272,0.522585,8.84516e-05,0.56057,9.70595
2.22,0.1,1.53098,0.0324576,0.550689,0.000267684,0.539568,30.6592
2.22,0.15,1.56125,0.0263868,0.565301,0.000252672,0.521215,25.5755
2.22,0.2,1.16706,0.0331073,0.589957,0.000278493,0.296623,30.0846
2.22,0.25,1.39941,0.016724,0.615245,0.000119515,0.338663,2.62575
2.22,0.3,1.21098,0.00573317,0.641054,6.45246e-05,0.2558,10.6875
2.22,0.35,1.40205,0.0189396,0.634513,0.00014741,0.306185,16.4297
2.22,0.4,1.13484,0.0227031,0.6572,0.000104137,0.200605,17.7838
2.22,0.45,1.16256,0.0130888,0.668257,0.000132544,0.188443,10.9383
2.22,0.5,1.18844,0.0252358,0.680358,2.75183e-05,0.181555,10.5973
2.22,0.55,1.06364,0.0296717,0.681439,7.25563e-05,0.148802,11.9907
2.22,0.6,1.05248,0.0306239,0.689323,0.000142741,0.149253,18.1253
2.22,0.65,1.07831,0.0424021,0.703337,0.000180338,0.140626,20.5341
2.22,0.7,1.20185,0.0323404,0.69712,0.0001626,0.151978,14.2008
2.22,0.75,0.985073,0.0195321,0.71309,0.000140003,0.119686,15.0337
2.22,0.8,1.08694,0.0320273,0.712187,0.000122153,0.125953,16.6586
2.22,0.85,1.0166,0.0427648,0.726154,0.000132496,0.113572,17.0895
2.22,0.9,1.12369,0.0242509,0.731957,7.0185e-05,0.117246,11.222
2.22,0.95,0.950245,0.0390541,0.742572,0.000110761,0.0976939,14.4836
2.22,1,0.975681,0.0558994,0.736387,0.000178251,0.100719,20.2076
2.22,1.05,1.01309,0.0234962,0.741529,4.24898e-05,0.0966102,2.21379
2.22,1.1,0.878598,0.0362568,0.755352,0.000130482,0.0787576,15.5359
2.22,1.15,0.944696,0.0241204,0.755722,1.05329e-05,0.081157,5.80777
2.22,1.2,0.923407,0.0383335,0.758875,9.13653e-05,0.0773076,13.0536
2.22,1.25,0.923017,0.0271773,0.76085,2.04421e-05,0.0766279,7.94698
2.22,1.3,0.996205,0.0211556,0.767629,3.46478e-05,0.0786258,3.38137
2.22,1.35,0.928061,0.0932961,0.767104,0.000212697,0.0722782,27.2237
2.22,1.4,0.918096,0.0469791,0.774231,6.86725e-05,0.0676965,11.5909
2.22,1.45,0.841801,0.086943,0.776811,0.000162587,0.0610285,21.9424
2.22,1.5,0.804209,0.0490992,0.784146,0.000122313,0.0568205,15.6929
2.22,1.55,0.891946,0.0582203,0.784364,0.00012926,0.0631173,17.5527
2.22,1.6,0.870574,0.0183391,0.782322,4.47938e-05,0.0618775,2.36313
2.22,1.65,0.835475,0.0709413,0.788029,0.000136889,0.0547726,19.048
2.22,1.7,0.869069,0.0901198,0.792007,0.000180917,0.0552608,24.2312
2.22,1.75,0.863378,0.0217783,0.797474,4.73414e-05,0.0535631,4.32511
2.22,1.8,0.895518,0.0613558,0.796337,0.000126487,0.0527738,16.3646
2.22,1.85,0.825986,0.112089,0.798211,0.000191926,0.0487333,26.0554
2.22,1.9,0.826471,0.0342557,0.801989,4.44806e-05,0.047736,1.35908
2.22,1.95,0.808978,0.0780902,0.806713,0.000119148,0.0449988,16.4328
2.22,2,0.9125,0.100191,0.802461,0.000145654,0.0504759,18.9515
1.5,0,0.869507,0.0794391,0.796326,0.000198134,0.0929093,40.6108
1.55,0,1.04818,0.022635,0.784178,9.43316e-05,0.121148,19.1244
1.6,0,0.99273,0.0288048,0.768904,0.00010411,0.124837,15.256
1.65,0,1.23495,0.0447182,0.759079,9.36902e-05,0.161881,15.0874
1.7,0,1.17105,0.0455959,0.742078,0.000113662,0.182704,20.5695
1.75,0,1.13833,0.0384803,0.722981,0.000193046,0.182428,26.1782
1.8,0,1.04125,0.0385652,0.724475,5.70415e-05,0.157055,6.00091
1.85,0,1.4412,0.0380848,0.685404,0.000108234,0.308694,3.83463
1.9,0,1.29697,0.0335299,0.680888,0.000160854,0.287652,23.0283
1.95,0,1.33414,0.0250342,0.657828,0.000141549,0.292729,12.8436
2,0,1.71777,0.033701,0.623944,0.000220929,0.493522,31.354
2.05,0,1.31528,0.0179708,0.615008,2.55629e-05,0.360572,16.044
2.1,0,1.35094,0.0177634,0.586035,0.000148104,0.437583,6.48642
2.15,0,1.34517,0.0086058,0.57289,0.00013039,0.456774,15.5059
2.2,0,1.34716,0.023345,0.535526,0.000215737,0.620184,26.359
2.25,0,1.24778,0.00841173,0.526486,3.00812e-05,0.52312,12.3334
2.3,0,1.23406,0.019217,0.483153,0.000213634,0.622593,23.4166
2.35,0,1.1807,0.00744464,0.462087,0.000110803,0.622598,14.7426
2.4,0,1.11452,0.0061552,0.422905,5.42576e-05,0.691485,10.1883
2.45,0,0.899339,0.0132951,0.407113,0.000252123,0.586687,19.2193
2.5,0,0.874856,0.0105975,0.409963,0.000169102,0.568384,15.6292
2.55,0,0.785697,0.00446665,0.371657,0.000132837,0.566059,10.441
2.6,0,0.662438,0.00546544,0.3347,5.24635e-05,0.542391,8.206
2.65,0,0.636229,0.00382225,0.349933,0.000164065,0.510734,12.5336
2.7,0,0.60754,0.00469763,0.334546,2.71315e-05,0.493496,5.72003
2.75,0,0.46817,0.00321718,0.295116,0.000114272,0.427956,7.15271
2.8,0,0.46381,0.00550731,0.296664,0.000183664,0.413875,10.069
2.85,0,0.416178,0.00325419,0.289386,0.000147011,0.388216,8.13318
2.9,0,0.368638,0.00208726,0.271797,0.000110246,0.369498,6.41783
2.95,0,0.355755,0.00323269,0.275774,0.000147536,0.367272,6.76938
3,0,0.349309,0.00446142,0.266967,0.000118547,0.332553,2.85404
3.05,0,0.288668,0.00217088,0.257065,0.000103936,0.292114,1.43298
3.1,0,0.306729,0.00424487,0.249373,0.000221925,0.315791,9.08555
3.15,0,0.281289,0.000904032,0.252522,0.000141142,0.285898,5.15486
3.2,0,0.238456,0.00256675,0.235967,6.06519e-05,0.254712,3.50613
3.25,0,0.262359,0.00130105,0.242235,6.4415e-05,0.273022,1.29476
3.3,0,0.237999,0.00108861,0.23321,7.61255e-05,0.250991,1.00444
3.35,0,0.211512,0.00167406,0.227047,0.000106078,0.23049,3.88977
3.4,0,0.190525,0.00140247,0.219391,4.64808e-05,0.21441,1.9925
3.45,0,0.205188,0.00114448,0.222087,3.82266e-05,0.224599,3.10751
3.5,0,0.19144,0.00210448,0.211136,0.000125945,0.213924,4.08395
1.5,1,0.657381,0.0228938,0.856206,9.42025e-05,0.0348384,19.8961
1.8,1,0.87229,0.0589354,0.812874,9.43298e-05,0.0574217,17.284
2.1,1,0.932971,0.0404305,0.763895,0.000129793,0.0818603,17.4492
2.4,1,0.903738,0.0199744,0.711564,0.000150123,0.0992157,15.315
2.7,1,1.02695,0.0139326,0.636203,9.32877e-05,0.15616,4.0709
3,1,1.07511,0.00802963,0.564652,7.92951e-05,0.217183,2.13788
3.3,1,0.897451,0.00801647,0.479857,0.00011276,0.243817,8.62231
3.6,1,0.698229,0.00417628,0.422016,6.71737e-05,0.227347,6.73688
3.9,1,0.515742,0.00241999,0.362924,5.19522e-05,0.22264,1.96099
4.2,1,0.40367,0.00427951,0.331461,0.000122414,0.199919,4.41968
4.5,1,0.329325,0.000965839,0.287313,0.000135734,0.185023,2.07197
1.5,2,0.641142,0.0228745,0.883543,4.01962e-05,0.0217558,9.32018
1.8,2,0.77804,0.168147,0.853686,0.000168334,0.0332952,28.9805
2.1,2,0.763496,0.106329,0.820133,0.000141518,0.0395831,20.265
2.4,2,0.827403,0.0427179,0.781711,8.1048e-05,0.0530826,10.2054
2.7,2,0.896699,0.0532837,0.741662,0.000169343,0.0663921,16.7466
3,2,1.02685,0.0429683,0.690616,0.000151306,0.0975553,11.041
3.3,2,0.965045,0.0211492,0.642526,3.47387e-05,0.107005,6.80678
3.6,2,0.879241,0.0150243,0.5936,0.000116789,0.116719,7.03481
3.9,2,0.943648,0.00937953,0.538872,8.71528e-05,0.156856,5.37335
4.2,2,0.662789,0.00802345,0.495101,9.93328e-05,0.127577,4.65464
4.5,2,0.600477,0.00654926,0.459488,7.35817e-05,0.13466,4.27552
