Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
2.22,0,1.71589,0.0809997,0.368455,0.000216184,2.21354,9209.3
2.22,0.05,1.99207,0.0800027,0.448306,0.000170107,1.65351,9528.09
2.22,0.1,1.70705,0.0865573,0.486377,0.00016329,1.39521,8486.48
2.22,0.15,2.42015,0.113976,0.5205,0.000186205,1.86732,10404.3
2.22,0.2,2.25772,0.140591,0.555484,0.0001526,1.02473,9305.08
2.22,0.25,3.07995,0.168443,0.545697,0.000182057,1.5428,10178.8
2.22,0.3,1.48359,0.119392,0.593927,8.88496e-05,0.606901,6771.11
2.22,0.35,1.43579,0.0527822,0.596212,8.15054e-05,0.469448,6078.01
2.22,0.4,1.61936,0.127091,0.629036,5.22868e-05,0.547746,5339.8
2.22,0.45,2.38771,0.163787,0.642362,0.000115965,0.68665,8254.24
2.22,0.5,1.8331,0.143199,0.651067,9.17003e-05,0.43362,6876.61
2.22,0.55,1.0156,0.070044,0.660087,3.41151e-05,0.200757,2915.15
2.22,0.6,2.06269,0.123129,0.662704,3.53887e-05,0.399402,3984.48
2.22,0.65,1.29346,0.0945546,0.680741,5.94373e-05,0.200543,4992.88
2.22,0.7,1.11417,0.16077,0.685411,9.64682e-05,0.162772,4545.81
2.22,0.75,1.70877,0.0825566,0.698822,6.46612e-05,0.290809,1488.12
2.22,0.8,2.14814,0.12528,0.698027,6.76883e-05,0.300651,2395.48
2.22,0.85,1.20259,0.180047,0.707979,5.00601e-05,0.16021,4571.54
2.22,0.9,1.53508,0.0977596,0.718385,4.87707e-05,0.192911,4859.13
2.22,0.95,1.37942,0.209702,0.712804,5.71962e-05,0.174948,4961.26
2.22,1,1.44558,0.164489,0.720784,4.56351e-05,0.168157,2061.42
2.22,1.05,1.96115,0.14786,0.731879,3.89464e-06,0.23773,4274.02
2.22,1.1,1.48847,0.169832,0.737898,6.29305e-05,0.157233,2119.99
2.22,1.15,1.42114,0.1125,0.736227,3.39981e-05,0.167099,3252.73
2.22,1.2,1.52071,0.109726,0.74454,3.60139e-05,0.169471,4479.68
2.22,1.25,1.08146,0.124647,0.746114,3.75995e-05,0.0939959,1146.18
2.22,1.3,1.30551,0.169254,0.756175,5.0806e-05,0.115573,1621.78
2.22,1.35,1.32193,0.184212,0.758359,2.35216e-05,0.127737,3498.95
2.22,1.4,0.921365,0.148498,0.75844,5.32324e-05,0.0758763,2436.07
2.22,1.45,1.26065,0.112574,0.764532,1.90831e-05,0.104599,3266.83
2.22,1.5,1.27778,0.155284,0.768774,7.43233e-06,0.107069,3237.51
2.22,1.55,1.29288,0.303741,0.773746,9.43396e-05,0.0991309,5479.32
2.22,1.6,1.09519,0.225897,0.775933,5.79316e-05,0.0754976,4462.34
2.22,1.65,1.19668,0.162425,0.773591,3.46627e-05,0.085398,1397.9
2.22,1.7,1.41105,0.14852,0.781177,3.44429e-05,0.113444,3863.74
2.22,1.75,1.11228,0.150976,0.784345,4.74377e-06,0.0804552,2909.46
2.22,1.8,1.26625,0.174129,0.785288,5.5675e-05,0.0771339,2761.21
2.22,1.85,1.08937,0.386769,0.794949,8.53907e-05,0.0747446,5090.8
2.22,1.9,1.25191,0.278745,0.790798,7.17923e-05,0.084792,3704.18
2.22,1.95,1.60533,0.20267,0.793301,5.7612e-05,0.106006,2094.01
2.22,2,0.831914,0.193073,0.801874,4.03921e-05,0.0488501,1893.44
1.5,0,7.77999,0.480591,0.727823,0.00026499,5.24142,27468.1
1.55,0,6.41794,0.368935,0.73006,0.000213092,3.46081,20697.1
1.6,0,3.99313,0.253817,0.723525,0.000138548,1.83879,14531.3
1.65,0,4.89578,0.302773,0.699549,0.00019658,2.7146,18290.7
1.7,0,5.91747,0.335053,0.669151,0.000248633,4.08012,20333.4
1.75,0,4.62964,0.200451,0.653123,0.000196552,2.91867,16257.5
1.8,0,2.52242,0.100753,0.655661,0.000121504,1.22747,10215.7
1.85,0,3.06385,0.139926,0.615559,0.000206271,2.55825,15661.2
1.9,0,3.51164,0.2393,0.5976,0.000211548,2.55692,15463.4
1.95,0,3.54261,0.203237,0.562064,0.000243153,3.06781,15178.7
2,0,3.20553,0.142078,0.510432,0.000282295,4.16374,14746.4
2.05,0,3.26862,0.148794,0.497808,0.000228158,2.69513,13017.7
2.1,0,2.1453,0.123436,0.512569,0.000211396,2.16405,11577.5
2.15,0,2.6321,0.120327,0.414908,0.000316269,4.65025,12636.4
2.2,0,2.16295,0.104942,0.402266,0.000275567,3.47897,10915.1
2.25,0,1.43708,0.0804202,0.309123,0.000241562,2.66199,8780.82
2.3,0,1.02542,0.0513793,0.30715,0.00023308,2.41586,7875.15
2.35,0,0.53042,0.0245194,0.168386,0.000167576,1.44711,3733.66
2.4,0,0.645474,0.0372797,0.212606,0.000180803,1.47129,4377.76
2.45,0,0.848871,0.0264862,0.201425,0.00020602,1.87919,5131.66
2.5,0,0.572669,0.0217523,0.18069,0.000183631,1.57912,4174.3
2.55,0,0.40597,0.0258681,0.175317,0.000130612,0.921884,2460.3
2.6,0,0.420215,0.0193125,0.120953,9.56376e-05,0.631217,1207.49
2.65,0,0.416571,0.024482,0.12685,0.000149176,0.874492,2273.49
2.7,0,0.357532,0.0190873,0.125541,0.000126402,0.82518,2043.5
2.75,0,0.425379,0.0226699,0.12227,0.000130013,0.7626,1898.44
2.8,0,0.328058,0.00985537,0.110716,0.000115092,0.588474,1332.15
2.85,0,0.329145,0.0197171,0.110396,9.2019e-05,0.514513,1091.82
2.9,0,0.280131,0.00827888,0.096483,9.69002e-05,0.511707,1059.07
2.95,0,0.246399,0.00475542,0.0925563,8.67426e-05,0.367533,848.312
3,0,0.230425,0.00803832,0.0925906,5.30056e-05,0.336877,514.068
3.05,0,0.223051,0.00750661,0.0782633,6.69911e-05,0.274038,574.717
3.1,0,0.231267,0.00758162,0.0877773,5.98021e-05,0.289473,459.044
3.15,0,0.196736,0.0072731,0.0884574,9.33127e-05,0.364023,815.382
3.2,0,0.212552,0.00838141,0.0879428,7.44267e-05,0.324545,620.034
3.25,0,0.205211,0.00516711,0.0798713,6.28216e-05,0.268479,435.204
3.3,0,0.165403,0.00645134,0.0746902,7.36378e-05,0.288933,708.027
3.35,0,0.152658,0.0021777,0.075973,4.1515e-05,0.266469,415.103
3.4,0,0.169454,0.00365507,0.079365,4.83551e-05,0.293225,392.507
3.45,0,0.170593,0.00449257,0.0774404,5.21898e-05,0.278676,394.023
3.5,0,0.153441,0.00345474,0.0730026,6.01306e-05,0.232111,407.148
1.5,1,2.17296,0.286616,0.846168,5.3521e-05,0.139443,2396
1.8,1,2.2759,0.283459,0.796,5.02972e-05,0.194643,6535.44
2.1,1,1.06746,0.212873,0.752858,8.28974e-05,0.112739,4634.07
2.4,1,1.52518,0.0857352,0.684523,4.2361e-05,0.208583,2735.29
2.7,1,1.27817,0.0708507,0.618356,5.46548e-05,0.22784,2316.42
3,1,1.11327,0.0785505,0.536812,8.42394e-05,0.26295,3835.19
3.3,1,0.643883,0.0449981,0.460919,7.15156e-05,0.18019,2430.37
3.6,1,0.677452,0.0218729,0.398254,8.09482e-05,0.268963,2244.27
3.9,1,0.467483,0.0230793,0.341236,5.918e-05,0.219232,1537.77
4.2,1,0.394133,0.0115384,0.299546,7.70552e-05,0.22435,1276.31
4.5,1,0.311731,0.00831482,0.265376,9.1983e-05,0.210816,1226.08
1.5,2,1.65022,0.579174,0.87865,4.71287e-05,0.0652305,3439.98
1.8,2,1.1051,0.509848,0.850039,6.78851e-05,0.0514521,5344.6
2.1,2,0.986815,0.282246,0.812167,6.43711e-05,0.0556933,4058.45
2.4,2,1.20078,0.38473,0.775037,9.9503e-05,0.0782994,5536.51
2.7,2,1.22497,0.184523,0.732481,1.71985e-05,0.10392,2666.23
3,2,0.681333,0.132704,0.686193,7.39936e-05,0.0652678,2902.71
3.3,2,0.979789,0.0536557,0.635126,2.56211e-05,0.110319,2014.01
3.6,2,0.842103,0.0857741,0.578748,7.18438e-05,0.127627,2770.55
3.9,2,0.790419,0.0679025,0.524655,7.21106e-05,0.131172,2349.64
4.2,2,0.70103,0.0241236,0.481503,1.06046e-05,0.143506,1316.63
4.5,2,0.747764,0.0198305,0.437004,4.00468e-05,0.173934,1554.75
