Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
0.5,1,0.59242,6.03327,0.956493,0.000138781,0.00952727,0.0803457
0.55,1,0.442998,3.12933,0.952749,0.00011317,0.0083765,0.060358
0.6,1,0.54156,3.63004,0.948529,0.000182229,0.00933786,0.0878777
0.65,1,0.612809,1.7409,0.943883,7.41921e-05,0.0105922,0.033129
0.7,1,0.44898,3.09302,0.937582,0.000125758,0.012669,0.0513232
0.75,1,0.493824,2.52317,0.932293,0.000165861,0.0147732,0.06363
0.8,1,0.490946,4.17381,0.929207,0.000283605,0.0134508,0.100656
0.85,1,0.486697,1.36333,0.924898,9.17859e-05,0.0138272,0.0326465
0.9,1,0.571599,1.50011,0.920931,0.00021423,0.0159206,0.0667259
0.95,1,0.834988,1.30313,0.911153,0.00017137,0.0296816,0.0511202
1,1,0.413833,0.830009,0.908984,2.64298e-05,0.0149478,0.0108894
1.05,1,0.369375,0.633264,0.899872,8.32414e-05,0.0122571,0.0222265
1.1,1,0.435499,0.208255,0.89686,0.0001309,0.0190773,0.0327293
1.15,1,0.731997,1.90953,0.891094,0.000314044,0.0312033,0.0732829
1.2,1,0.555728,0.868035,0.884764,8.94455e-05,0.0249294,0.0205496
1.25,1,0.64239,1.4263,0.881449,0.000245833,0.0211278,0.0528429
1.3,1,0.526869,0.425514,0.873854,9.50246e-05,0.0274671,0.0184631
1.35,1,0.884615,1.01222,0.863025,0.00024875,0.0539536,0.0496358
1.5,2,0.557688,0.611097,0.882884,0.000154087,0.0201934,0.0263889
1.55,2,0.416309,1.19831,0.875258,0.000309456,0.0163793,0.0535372
1.6,2,0.68295,1.23478,0.870596,0.000136692,0.0296531,0.0248539
1.65,2,0.777863,0.984036,0.865391,0.000229292,0.031049,0.038045
1.7,2,0.762493,0.91778,0.858073,0.000252055,0.0361226,0.0399084
1.75,2,0.559544,1.17462,0.849392,0.000327062,0.0266866,0.0487309
1.8,2,0.670431,0.639169,0.851718,0.000187246,0.0290969,0.0283776
1.85,2,0.709892,1.09779,0.84808,0.000356815,0.0289769,0.0493377
1.9,2,0.935863,0.982157,0.846339,0.000226445,0.0434805,0.0316376
1.95,2,1.05268,0.465573,0.838491,9.32801e-05,0.0508036,0.00505976
2,2,0.81411,0.607162,0.828461,0.000109066,0.0442244,0.0172006
2.05,2,0.618946,0.948228,0.821565,0.000327857,0.0270232,0.040369
2.1,2,0.870776,0.291946,0.814201,0.00031809,0.0462462,0.0361198
2.15,2,0.653726,1.0075,0.812751,0.00044836,0.0319773,0.0513146
2.2,2,0.719971,0.527172,0.808569,0.000272727,0.0423592,0.0316367
2.25,2,1.11397,0.372085,0.799245,0.000246175,0.067462,0.0284611
2.3,2,0.812512,0.711566,0.789237,0.00035186,0.0552116,0.0363569
2.35,2,0.473631,0.172371,0.786374,0.00011608,0.031591,0.0128392
2.4,2,0.785938,0.476147,0.761007,0.000280426,0.0536385,0.0293614
2.45,2,1.41098,0.223695,0.769447,0.00013893,0.0841555,0.00677816
2.5,2,0.840907,0.31421,0.777901,0.000303189,0.0614103,0.0271799
2.55,2,1.51753,0.4579,0.736949,0.000325873,0.11096,0.0339774
2.6,2,0.629823,0.43606,0.754154,0.000205896,0.054854,0.0165102
2.65,2,0.662501,0.486565,0.751711,0.000448974,0.0570618,0.0370515
2.7,2,0.588916,0.250583,0.733587,0.000200677,0.0459891,0.0183925
2.75,2,0.709381,0.286643,0.718538,0.000332874,0.0537418,0.0250479
2.8,2,0.767088,0.399775,0.707359,0.000297455,0.0639413,0.0267924
2.85,2,1.14695,0.406339,0.700068,0.000271114,0.108276,0.0256938
2.9,2,0.671313,0.473645,0.709305,0.000465464,0.055801,0.035291
2.95,2,0.542851,0.41599,0.688845,0.000421568,0.0527266,0.0299273
3,2,0.896852,0.388556,0.684393,0.000347939,0.0875533,0.022241
3.05,2,0.959558,0.143134,0.665807,0.000217491,0.0919507,0.0126404
0.5,2,0.39807,11.3143,0.965493,0.000171309,0.0038257,0.10103
0.55,2,0.375314,8.65018,0.959633,0.000168307,0.00529001,0.0902189
0.6,2,0.422456,4.05903,0.957083,2.38143e-05,0.00581279,0.0122668
0.65,2,0.335059,0.866564,0.952104,7.80496e-05,0.00481009,0.0348732
0.7,2,0.399094,4.65079,0.948516,0.000195035,0.00590404,0.0807001
0.75,2,0.684078,4.69395,0.943438,0.000215368,0.0126616,0.0816674
